ENSG00000129946,ENSG00000177885,ENSG00000115904,ENSG00000174775,ENSG00000078061
ENSG00000174775,ENSG00000132155,ENSG00000169032,ENSG00000100030,ENSG00000072133
ENSG00000065675,ENSG00000135341,ENSG00000076984,ENSG00000107643,ENSG00000170345
ENSG00000204209,ENSG00000197442,ENSG00000108984,ENSG00000112062,ENSG00000081189
ENSG00000104814,ENSG00000173327,ENSG00000076984,ENSG00000107643,ENSG00000126767
ENSG00000178607,ENSG00000127191,ENSG00000197442,ENSG00000076984,ENSG00000107643
ENSG00000105976,ENSG00000109458,ENSG00000167193,ENSG00000107263,ENSG00000116473
ENSG00000139679,ENSG00000120063,ENSG00000196914,ENSG00000067560,ENSG00000067900
ENSG00000178607,ENSG00000127191,ENSG00000197442,ENSG00000107643,ENSG00000177606
ENSG00000127191,ENSG00000110330,ENSG00000137275,ENSG00000034152,ENSG00000112062
ENSG00000002745,ENSG00000111432,ENSG00000087258,ENSG00000107404,ENSG00000082701
ENSG00000170458,ENSG00000136869,ENSG00000172936,ENSG00000168040,ENSG00000064012
ENSG00000196664,ENSG00000172936,ENSG00000198001,ENSG00000175104,ENSG00000128604
ENSG00000175104,ENSG00000135341,ENSG00000034152,ENSG00000112062,ENSG00000170345
ENSG00000134215,ENSG00000136238,ENSG00000130669,ENSG00000132155,ENSG00000169032
ENSG00000169398,ENSG00000050820,ENSG00000167193,ENSG00000107263,ENSG00000116473
ENSG00000172215,ENSG00000127955,ENSG00000000938,ENSG00000120899,ENSG00000089159
ENSG00000117091,ENSG00000122223,ENSG00000213658,ENSG00000177885,ENSG00000115904
ENSG00000117560,ENSG00000026103,ENSG00000168040,ENSG00000064012,ENSG00000164305
ENSG00000096968,ENSG00000169047,ENSG00000121879,ENSG00000117020,ENSG00000082701
ENSG00000180739,ENSG00000120063,ENSG00000067560,ENSG00000067900,ENSG00000171862
ENSG00000115904,ENSG00000133818,ENSG00000160271,ENSG00000006451,ENSG00000075651
ENSG00000165416,ENSG00000106100,ENSG00000104312,ENSG00000269335,ENSG00000100906
ENSG00000114554,ENSG00000136238,ENSG00000130669,ENSG00000106683,ENSG00000172757
ENSG00000198400,ENSG00000121879,ENSG00000163932,ENSG00000197122,ENSG00000196689
ENSG00000116473,ENSG00000157764,ENSG00000169032,ENSG00000100030,ENSG00000123358
ENSG00000140992,ENSG00000117020,ENSG00000107968,ENSG00000006062,ENSG00000269335
ENSG00000005961,ENSG00000197122,ENSG00000169398,ENSG00000116584,ENSG00000067560
ENSG00000167193,ENSG00000136238,ENSG00000158195,ENSG00000162704,ENSG00000075624
ENSG00000120063,ENSG00000170776,ENSG00000067560,ENSG00000067900,ENSG00000168036
